run_id,condition,response,task_id,complexity,group
57,2,7,35.0,medium,B
57,2,2,14.0,low,B
57,2,5,60.0,high,B
57,2,1,9.0,low,B
57,2,5,43.0,high,B
57,2,3,54.0,high,B
55,4,1,57.0,high,D
55,4,2,18.0,medium,D
55,4,1,34.0,medium,D
55,4,5,61.0,high,D
55,4,5,42.0,high,D
55,4,7,29.0,medium,D
55,4,6,48.0,high,D
55,4,5,6.0,low,D
55,4,4,16.0,low,D
55,4,4,24.0,medium,D
55,4,4,3.0,low,D
55,4,7,12.0,low,D
55,4,3,49.0,high,D
55,4,3,55.0,high,D
55,4,3,40.0,medium,D
55,4,2,28.0,medium,D
6,1,7,62.0,high,A
6,1,3,46.0,high,A
6,1,4,22.0,medium,A
6,1,4,11.0,low,A
6,1,1,7.0,low,A
6,1,2,44.0,high,A
6,1,3,53.0,high,A
6,1,5,30.0,medium,A
6,1,5,19.0,medium,A
6,1,4,2.0,low,A
6,1,3,39.0,medium,A
6,1,5,13.0,low,A
6,1,4,33.0,medium,A
6,1,2,50.0,high,A
6,1,5,25.0,medium,A
6,1,6,59.0,high,A
60,2,5,17.0,medium,B
60,2,2,51.0,high,B
60,2,7,35.0,medium,B
60,2,7,8.0,low,B
60,2,2,14.0,low,B
60,2,5,26.0,medium,B
60,2,6,37.0,medium,B
60,2,4,54.0,high,B
60,2,2,64.0,high,B
60,2,3,1.0,low,B
60,2,2,31.0,medium,B
60,2,3,9.0,low,B
60,2,3,23.0,medium,B
60,2,4,60.0,high,B
60,2,3,43.0,high,B
60,2,5,47.0,high,B
63,1,7,62.0,high,A
63,1,5,2.0,low,A
63,1,6,50.0,high,A
63,1,4,11.0,low,A
63,1,5,33.0,medium,A
63,1,5,19.0,medium,A
63,1,1,7.0,low,A
63,1,5,59.0,high,A
63,1,3,22.0,medium,A
63,1,5,46.0,high,A
63,1,3,39.0,medium,A
63,1,4,44.0,high,A
63,1,4,53.0,high,A
63,1,4,13.0,low,A
63,1,6,25.0,medium,A
63,1,6,30.0,medium,A
59,3,3,20.0,medium,C
59,3,6,56.0,high,C
59,3,5,32.0,medium,C
59,3,6,38.0,medium,C
